排名,标题,链接,导演,主演,年份,国家,类型,评分,评价人数,一句话评价
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪/剧情,9.7,3205439,希望让人自由。
2,霸王别姬,https://movie.douban.com/subject/1291546/,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情/爱情/同性,9.6,2365968,风华绝代。
3,泰坦尼克号,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情/爱情/灾难,9.5,2433781,失去的才是永恒的。
4,阿甘正传,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情/爱情,9.5,2377833,一部美国近现代史。
5,千与千寻,https://movie.douban.com/subject/1291561/,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情/动画/奇幻,9.4,2475887,最好的宫崎骏，最好的久石让。
6,美丽人生,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情/喜剧/爱情/战争,9.5,1449533,最美的谎言。
7,这个杀手不太冷,https://movie.douban.com/subject/1295644/,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情/动作/犯罪,9.4,2502962,怪蜀黍和小萝莉不得不说的故事。
8,星际穿越,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情/科幻/冒险,9.4,2111930,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情/科幻/悬疑/冒险,9.4,2272709,诺兰给了我们一场无法盗取的梦。
10,楚门的世界,https://movie.douban.com/subject/1292064/,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情/科幻,9.4,1959214,如果再也不能见到你，祝你早安，午安，晚安。
11,辛德勒的名单,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993,美国,剧情/历史/战争,9.5,1222395,拯救一个人，就是拯救整个世界。
12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.4,1513001,永远都不能忘记你所爱的人。
13,海上钢琴师,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情/音乐,9.3,1840957,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情/喜剧/爱情/歌舞,9.2,2033092,英俊版憨豆，高情商版谢耳朵。
15,疯狂动物城,https://movie.douban.com/subject/25662329/,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016,美国,喜剧/动画/冒险,9.2,2202422,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
16,放牛班的春天,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情/音乐,9.3,1442008,天籁一般的童声，是最接近上帝的存在。
17,机器人总动员,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻/动画/冒险,9.3,1452635,小瓦力，大人生。
18,无间道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情/犯罪/惊悚,9.3,1525149,香港电影史上永不过时的杰作。
